Distance;Altitude;Easting;Northing;Longitude;Latitude
0;1691;2771448.9;1183255.6;9.683896;46.778397
15.8;1690.6;2771452.9;1183240.3;9.683942;46.778259
27.1;1690.2;2771456;1183229.5;9.683979;46.778161
33;1690;2771457.2;1183223.7;9.683992;46.778108
37.6;1689.8;2771457.7;1183219.1;9.683997;46.778067
41.9;1689.7;2771457.4;1183214.8;9.683992;46.778028
44.9;1689.6;2771456.3;1183212;9.683976;46.778004
51;1689;2771452.6;1183207.2;9.683926;46.777961
61.1;1688.1;2771444;1183201.9;9.683811;46.777916
76;1686.8;2771431;1183194.6;9.683639;46.777854
84.7;1686.3;2771423.3;1183190.6;9.683536;46.77782
89;1686;2771420.1;1183187.7;9.683493;46.777794
92.7;1686.1;2771418.3;1183184.5;9.683469;46.777766
97;1686.3;2771417.4;1183180.3;9.683455;46.777728
102;1686.1;2771416.9;1183175.3;9.683447;46.777684
106.4;1686;2771415.5;1183171.1;9.683427;46.777646
111.3;1685.8;2771412.4;1183167.3;9.683385;46.777613
120.7;1685.3;2771404.6;1183162;9.683281;46.777567
129.3;1684.2;2771397.4;1183157.4;9.683185;46.777528
142.1;1682.9;2771386.9;1183150;9.683045;46.777464
152;1681.7;2771378.7;1183144.5;9.682935;46.777417
160.4;1680.8;2771372.3;1183139;9.682849;46.777369
168.2;1679.8;2771367;1183133.4;9.682778;46.77732
180.3;1678.4;2771358.3;1183124.9;9.682661;46.777246
191;1677.2;2771351.8;1183116.4;9.682573;46.777171
199.9;1676.1;2771345.9;1183109.8;9.682493;46.777113
212.5;1674.9;2771338.6;1183099.5;9.682394;46.777022
224.6;1673.6;2771329.1;1183092;9.682266;46.776957
238.8;1671.8;2771317.3;1183084.1;9.682109;46.776889
250.4;1670.4;2771307.3;1183078.2;9.681976;46.776839
256.8;1669.8;2771302.1;1183074.4;9.681906;46.776806
259.6;1669.4;2771300.5;1183072.2;9.681885;46.776787
262.9;1669;2771299.5;1183069;9.68187;46.776758
265.5;1668.7;2771299.5;1183066.4;9.681869;46.776735
267.5;1668.4;2771300.2;1183064.6;9.681878;46.776718
270.2;1668;2771302;1183062.5;9.681901;46.776699
272.9;1667.7;2771304.4;1183061.4;9.681932;46.776688
275.5;1667.5;2771307;1183061.1;9.681966;46.776685
279.3;1667;2771310.8;1183061.2;9.682015;46.776685
284.2;1666.5;2771315.5;1183062.6;9.682077;46.776696
291.5;1665.5;2771322.4;1183065;9.682169;46.776716
