Distance;Altitude;Easting;Northing;Longitude;Latitude
0;1413.5;2780692.4;1204799.9;9.813414;46.969663
11.5;1413.9;2780690.3;1204811.2;9.813391;46.969765
18.3;1414.6;2780687.9;1204817.6;9.813362;46.969823
31.1;1416.4;2780678.7;1204826.5;9.813244;46.969905
39.7;1417.5;2780671;1204830.2;9.813145;46.969941
49.4;1418.8;2780661.5;1204832.4;9.813021;46.969963
65.3;1420.8;2780645.8;1204829.9;9.812814;46.969945
78.5;1422.2;2780632.8;1204827.8;9.812642;46.96993
104.6;1424.9;2780606.9;1204830.7;9.812303;46.969963
127;1427.4;2780584.85;1204834.8;9.812015;46.970006
149.4;1429.7;2780562.8;1204838.9;9.811727;46.970048
169.3;1431.6;2780542.9;1204838.8;9.811466;46.970053
192;1433.8;2780520.3;1204837;9.811168;46.970043
202.7;1435.1;2780509.6;1204837.9;9.811028;46.970054
225.2;1437;2780488.5;1204845.8;9.810754;46.970131
242.2;1442.2;2780479;1204859.9;9.810635;46.97026
271.5;1450.3;2780478.2;1204889.1;9.810636;46.970523
294.3;1456.7;2780480.95;1204911.8;9.810681;46.970726
317.2;1463.8;2780483.7;1204934.5;9.810726;46.970929
338.8;1470.4;2780484.6;1204956.1;9.810746;46.971123
360.4;1476.4;2780485.5;1204977.7;9.810767;46.971317
382;1483.2;2780486.4;1204999.3;9.810787;46.971511
418;1496.5;2780483.7;1205035.2;9.810766;46.971835
445.3;1507.7;2780473.3;1205060.4;9.81064;46.972064
455.8;1509.7;2780465.4;1205067.3;9.810538;46.972128
467.7;1512.9;2780459.3;1205077.5;9.810462;46.972222
476.4;1518.1;2780458.7;1205086.2;9.810458;46.9723
488.4;1520.8;2780464.4;1205096.8;9.810537;46.972394
510.7;1525.1;2780483;1205109;9.810786;46.972499
522.8;1527.7;2780494.5;1205112.9;9.810939;46.972531
541.5;1532.2;2780512.6;1205117.6;9.811178;46.972568
566.4;1538.2;2780537.3;1205120.1;9.811504;46.972584
586.2;1542.8;2780556.45;1205125.3;9.811757;46.972625
606;1547.1;2780575.6;1205130.5;9.812011;46.972667
635.2;1553.7;2780604.3;1205135.7;9.81239;46.972706
662.1;1560.2;2780630;1205143.5;9.812731;46.972769
689;1566.1;2780656.9;1205143.8;9.813084;46.972764
712.8;1571.1;2780679.9;1205149.9;9.813389;46.972813
744.3;1577.5;2780705.4;1205168.5;9.813731;46.972973
766.1;1581.5;2780723;1205181.4;9.813968;46.973084
797.2;1587.8;2780752.3;1205191.7;9.814356;46.973169
819.3;1591.6;2780773.6;1205197.75;9.814639;46.973217
841.5;1594.8;2780794.9;1205203.8;9.814921;46.973266
870.4;1599.1;2780821.9;1205214.2;9.81528;46.973352
884.3;1601.7;2780831.2;1205224.5;9.815406;46.973442
892.6;1603.4;2780831.9;1205232.8;9.815418;46.973517
908.9;1606.3;2780827.2;1205248.4;9.815363;46.973658
932.1;1607.6;2780827.4;1205271.6;9.815375;46.973867
947.1;1611.2;2780832.3;1205285.8;9.815445;46.973993
971.9;1614.9;2780850.25;1205302.9;9.815687;46.974142
996.7;1618.8;2780868.2;1205320;9.81593;46.974291
1016.8;1621.5;2780883.93;1205332.48;9.816142;46.974399
1036.9;1624.7;2780899.65;1205344.95;9.816353;46.974507
1056.9;1629.1;2780915.38;1205357.43;9.816565;46.974614
1077;1634.3;2780931.1;1205369.9;9.816776;46.974722
1101.6;1638.8;2780950.75;1205384.65;9.81704;46.97485
1126.2;1643.4;2780970.4;1205399.4;9.817304;46.974977
1139.1;1646.1;2780980.1;1205407.9;9.817435;46.975051
1144.4;1647.7;2780982;1205412.9;9.817462;46.975095
1151.9;1650.3;2780976.6;1205418.1;9.817393;46.975143
1165.7;1653;2780962.8;1205417.9;9.817212;46.975145
1184.5;1656.8;2780944;1205418.7;9.816965;46.975158
1212.2;1661.9;2780917.1;1205425.1;9.816614;46.975222
1246.5;1667.3;2780884.1;1205434.4;9.816184;46.975315
1269.2;1671.5;2780862.2;1205440.7;9.815899;46.975378
1292.4;1675.7;2780839.05;1205441.45;9.815595;46.975391
1315.6;1679.5;2780815.9;1205442.2;9.815292;46.975404
1342;1685;2780789.5;1205440.7;9.814944;46.975398
1368.5;1689;2780763.1;1205439.2;9.814597;46.975391
1396.8;1694.8;2780734.8;1205441.2;9.814226;46.975417
1425.2;1701.3;2780706.5;1205443.2;9.813855;46.975443
1464.1;1712.1;2780669.1;1205453.8;9.813368;46.975548
1501.7;1722.8;2780634.3;1205468.2;9.812916;46.975687
1532.4;1728.7;2780603.9;1205472.2;9.812519;46.975731
1551.4;1730.6;2780585.1;1205475.3;9.812273;46.975764
1579.6;1740.8;2780558.9;1205485.7;9.811933;46.975865
1596.8;1751;2780547.3;1205498.4;9.811786;46.975982
1611.5;1759.1;2780543.9;1205512.7;9.811747;46.976112
1634.3;1766;2780557;1205531.3;9.811926;46.976275
1667.3;1769.8;2780581.3;1205553.7;9.812254;46.97647
1689.8;1775;2780596.5;1205570.2;9.81246;46.976614
1712.2;1777.6;2780611.7;1205586.7;9.812667;46.976759
1736.3;1784.3;2780625;1205606.75;9.812849;46.976935
1760.3;1791.6;2780638.3;1205626.8;9.813032;46.977112
1781.7;1795.4;2780653.1;1205642.2;9.813233;46.977246
1803;1801.1;2780667.9;1205657.6;9.813433;46.977381
1834;1808;2780694.9;1205672.8;9.813794;46.97751
1859.9;1810.2;2780720.65;1205674.9;9.814133;46.977522
1885.7;1812.4;2780746.4;1205677;9.814472;46.977534
1918.7;1815;2780777.7;1205687.4;9.814887;46.977619
1944.7;1817.4;2780802.1;1205696.35;9.815212;46.977693
1970.7;1819.4;2780826.5;1205705.3;9.815536;46.977766
1986.2;1821.3;2780840.2;1205712.6;9.815718;46.977828
1995.9;1825.2;2780844.8;1205721.2;9.815782;46.977904
2016.8;1834.6;2780847.6;1205741.9;9.815827;46.97809
2046.4;1848.4;2780838.5;1205770;9.815719;46.978345
2084.8;1856.9;2780831.7;1205807.8;9.815645;46.978687
2116.7;1869;2780835.5;1205839.5;9.815707;46.978971
2142.7;1877.1;2780845.8;1205863.43;9.815852;46.979183
2168.8;1883.1;2780856.1;1205887.37;9.815997;46.979395
2194.9;1888.7;2780866.4;1205911.3;9.816142;46.979608
2223.2;1894.9;2780881.8;1205935.15;9.816354;46.979818
2251.6;1900.2;2780897.2;1205959;9.816565;46.980028
2275.7;1909;2780906.93;1205980.97;9.816702;46.980223
2299.7;1920.3;2780916.67;1206002.93;9.816839;46.980418
2323.7;1929.6;2780926.4;1206024.9;9.816975;46.980613
2360.6;1942.6;2780930.2;1206061.6;9.81704;46.980942
2385.4;1955.5;2780926.6;1206086.1;9.817002;46.981163
2410.1;1962.4;2780923;1206110.6;9.816965;46.981384
2444;1976.1;2780905.2;1206139.4;9.816742;46.981648
2468.4;1988.1;2780891.5;1206159.65;9.81657;46.981834
2492.9;1998.9;2780877.8;1206179.9;9.816399;46.98202
2520.6;2011.7;2780868.9;1206206.1;9.816292;46.982258
2548.2;2023.4;2780860;1206232.3;9.816186;46.982496
2571.7;2033.4;2780856.77;1206255.53;9.816152;46.982705
2595.2;2041.6;2780853.53;1206278.77;9.816119;46.982915
2618.6;2052.2;2780850.3;1206302;9.816086;46.983125
2658;2066.7;2780852.6;1206341.3;9.816132;46.983478
2694.9;2080.9;2780856.2;1206378;9.816194;46.983807
2724.5;2090.6;2780866.1;1206405.9;9.816335;46.984055
2752.8;2098;2780887.5;1206424.5;9.816623;46.984216
2778;2097.4;2780911.2;1206432.9;9.816938;46.984285
2803;2105;2780935.7;1206438;9.817262;46.984324
2822.8;2107.8;2780954.2;1206445.2;9.817508;46.984384
2853.6;2116.7;2780982.1;1206458.1;9.81788;46.984492
2870;2121.3;2780997.5;1206463.8;9.818084;46.984539
2886.3;2126.9;2781013.6;1206466.3;9.818297;46.984558
2912.5;2129.5;2781039.8;1206465;9.818641;46.984539
2926.3;2134.9;2781051.8;1206471.8;9.818801;46.984597
2939.2;2137.7;2781055.6;1206484.1;9.818856;46.984706
2952.6;2142.5;2781052.2;1206497.1;9.818816;46.984824
2975;2153;2781038.3;1206514.7;9.818641;46.984986
3006.9;2163.4;2781013.8;1206535;9.818327;46.985175
3037.9;2173.4;2780990.4;1206555.4;9.818028;46.985365
3074.3;2182.7;2780958.3;1206572.5;9.817613;46.985528
3107.7;2190.2;2780925.9;1206580.8;9.81719;46.985611
3138.2;2193.8;2780895.5;1206583;9.816792;46.985639
3164.5;2200.2;2780869.3;1206581.2;9.816447;46.98563
3182.5;2200.4;2780851.3;1206581.2;9.81621;46.985635
3209.1;2205.3;2780824.9;1206584.7;9.815865;46.985674
3214.7;2206.8;2780819.5;1206586.2;9.815794;46.985689
3223;2208.3;2780811.8;1206589.3;9.815695;46.985718
3260.2;2212.8;2780774.7;1206591.7;9.815208;46.98575
3294.6;2216.9;2780741;1206584.5;9.814762;46.985695
3317.5;2218;2780719.4;1206577.15;9.814476;46.985634
3340.3;2218.2;2780697.8;1206569.8;9.814189;46.985574
3376;2224.8;2780662.1;1206568.3;9.813719;46.98557
3407.9;2231.9;2780630.5;1206572.3;9.813306;46.985615
3430.2;2241.3;2780609.55;1206580.15;9.813034;46.985691
3452.6;2248.6;2780588.6;1206588;9.812761;46.985768
3482.6;2256.3;2780562;1206601.9;9.812418;46.9859
3511.2;2267.3;2780547.3;1206626.4;9.812234;46.986124
3545.3;2277.9;2780542.8;1206660.2;9.812188;46.986429
3579.6;2290.2;2780546;1206694.4;9.812244;46.986736
3601.3;2298.3;2780554.2;1206714.5;9.81236;46.986914
3629;2308.8;2780575.1;1206732.6;9.812642;46.987071
3659.3;2322.5;2780602.4;1206745.7;9.813006;46.987182
3693.4;2333.8;2780632.8;1206761.2;9.813411;46.987313
3703.4;2337.9;2780639.3;1206768.8;9.8135;46.987379
3715.8;2343.9;2780637.2;1206781;9.813477;46.98749
3732.3;2350.2;2780623.7;1206790.5;9.813303;46.987579
3749.1;2354.1;2780611.2;1206801.7;9.813143;46.987683
3760.1;2362.5;2780611;1206812.7;9.813145;46.987782
3793.5;2378.7;2780623.9;1206843.5;9.813327;46.988055
3828;2399;2780640;1206874.1;9.813551;46.988326
3850.2;2407.7;2780658.6;1206886.2;9.8138;46.98843
3865.9;2408.9;2780674.1;1206888.6;9.814004;46.988447
3887.1;2412.5;2780695.25;1206888.15;9.814282;46.988437
3908.2;2411.7;2780716.4;1206887.7;9.81456;46.988427
3922.2;2406;2780730.1;1206890.25;9.814741;46.988447
3936.1;2412.6;2780743.8;1206892.8;9.814922;46.988466
