Distance;Altitude;Easting;Northing;Longitude;Latitude
0;1859.1;2784308;1177225.3;9.849767;46.720743
43.6;1860.3;2784317.9;1177182.8;9.849879;46.720359
85.2;1861.5;2784324.3;1177141.7;9.849947;46.719987
114.8;1862.3;2784330.6;1177112.8;9.850017;46.719726
132.2;1862.9;2784335.1;1177096;9.850069;46.719573
163.4;1863.7;2784344.8;1177066.4;9.850184;46.719305
183.3;1864.1;2784353.4;1177048.4;9.85029;46.71914
213.6;1864.8;2784369.1;1177022.5;9.850484;46.718903
238.7;1865.8;2784380.5;1177000.1;9.850624;46.718699
262;1866.5;2784388.5;1176978.2;9.85072;46.718499
272.3;1867.1;2784395;1176970.3;9.850802;46.718427
290.1;1867.6;2784408;1176958.1;9.850967;46.718313
312.7;1868.1;2784420.9;1176939.5;9.851128;46.718143
327.4;1868.5;2784428;1176926.7;9.851216;46.718025
357.5;1869.3;2784437.7;1176898.2;9.851331;46.717767
372.1;1869.8;2784446.8;1176886.8;9.851446;46.717662
412;1871.4;2784479.4;1176863.8;9.851862;46.717446
451.9;1872.7;2784512;1176840.8;9.852279;46.71723
467.7;1873.3;2784523.7;1176830.1;9.852428;46.71713
483.5;1874.2;2784531.2;1176816.2;9.852521;46.717003
499.8;1875;2784537.1;1176801;9.852592;46.716865
530;1876.3;2784556.6;1176778;9.852837;46.716653
561.4;1877.7;2784575.8;1176753.1;9.853078;46.716424
605.4;1879.4;2784601.7;1176717.5;9.853402;46.716096
639.4;1880.6;2784616.2;1176686.8;9.85358;46.715816
685.6;1882.2;2784627.9;1176642.1;9.853715;46.715411
731.8;1884.4;2784639.6;1176597.4;9.85385;46.715006
740;1885.1;2784646.9;1176593.7;9.853943;46.714971
770.1;1887;2784675.2;1176583.4;9.854309;46.71487
787.7;1888.5;2784690.6;1176574.8;9.854507;46.714789
860.4;1900.6;2784745.8;1176527.6;9.85521;46.714349
880.1;1903.9;2784759.7;1176513.6;9.855386;46.714219
943.2;1912.5;2784801.4;1176466.2;9.855912;46.713782
987.8;1920.6;2784833.8;1176435.6;9.856323;46.713497
1040.4;1929.4;2784868.8;1176396.3;9.856765;46.713134
