Distance;Altitude;Easting;Northing;Longitude;Latitude
0;1460.7;2781802.1;1205187.5;9.828144;46.972844
30.8;1461.3;2781832.9;1205186.7;9.828549;46.972829
47;1462.2;2781848.9;1205184.3;9.828758;46.972803
59.2;1463;2781860.3;1205179.9;9.828906;46.97276
70.7;1464.1;2781870.4;1205174.4;9.829036;46.972708
81.8;1465;2781879.1;1205167.6;9.829148;46.972644
98.8;1466.5;2781890.4;1205154.9;9.829291;46.972527
122;1468.7;2781904.4;1205136.3;9.829468;46.972356
141.8;1470.5;2781917.5;1205121.5;9.829634;46.972219
158.2;1471.8;2781929.6;1205110.4;9.829788;46.972116
171.8;1473;2781936.7;1205098.8;9.829877;46.97201
179;1473.4;2781940.2;1205092.5;9.82992;46.971952
189.8;1474.3;2781946.5;1205083.8;9.83;46.971872
200.4;1474.9;2781953.9;1205076.2;9.830094;46.971802
211.3;1475.2;2781962.6;1205069.6;9.830205;46.97174
221.8;1475.6;2781971.5;1205064.1;9.83032;46.971688
232;1476.4;2781980.7;1205059.7;9.830439;46.971646
242.2;1477.2;2781990.1;1205055.6;9.830561;46.971607
252.5;1477.5;2781999.7;1205051.9;9.830686;46.971571
268.7;1478.5;2782015.5;1205048.4;9.830892;46.971535
290.9;1480.2;2782037.4;1205044.9;9.831178;46.971498
308.5;1481.6;2782054.7;1205041.2;9.831404;46.97146
322;1482.8;2782067.6;1205037.4;9.831572;46.971422
337;1484.4;2782082.4;1205034.9;9.831765;46.971395
353.9;1486.3;2782099.3;1205033.7;9.831987;46.97138
371.1;1487.9;2782116.2;1205030.9;9.832207;46.97135
388.6;1490.1;2782133.2;1205026.7;9.832429;46.971308
402.5;1491.7;2782146.4;1205022.4;9.832601;46.971266
412.7;1492.6;2782155.7;1205018.2;9.832721;46.971225
430.3;1494.7;2782170.7;1205008.9;9.832914;46.971137
455.3;1497.3;2782191.3;1204994.7;9.833179;46.971004
476.5;1498.6;2782206.7;1204980.2;9.833376;46.97087
498.6;1500;2782226.4;1204970.1;9.83363;46.970773
512.5;1501.1;2782239.9;1204967.1;9.833807;46.970743
519.4;1501.8;2782246.8;1204966.4;9.833897;46.970734
526.4;1502.3;2782253.8;1204966.4;9.833989;46.970733
533.6;1503;2782261;1204967.1;9.834084;46.970737
541.4;1503.6;2782268.6;1204968.5;9.834184;46.970747
549.8;1504.3;2782276.8;1204970.6;9.834293;46.970764
557.5;1505;2782284.4;1204971.4;9.834393;46.970769
564.6;1505.7;2782291.5;1204970.8;9.834486;46.970762
571.2;1506.4;2782297.9;1204969.1;9.834569;46.970745
577.5;1507.4;2782303.4;1204966.1;9.83464;46.970716
584;1508.4;2782308.6;1204962.2;9.834707;46.97068
590.8;1509.2;2782313.5;1204957.4;9.834769;46.970635
597;1509.9;2782319;1204954.7;9.834841;46.970609
603.3;1510.7;2782325.3;1204954.3;9.834923;46.970604
608.5;1511.5;2782330.1;1204952.2;9.834985;46.970584
613.7;1511.9;2782333.6;1204948.4;9.83503;46.970549
619.7;1513.1;2782338.8;1204945.4;9.835097;46.97052
627;1514.2;2782345.7;1204943;9.835187;46.970497
635.1;1515.5;2782353.8;1204942.3;9.835293;46.970488
644.3;1517.3;2782362.9;1204943.2;9.835413;46.970494
656.5;1519.3;2782375.1;1204943.1;9.835573;46.97049
671.8;1522.2;2782390.4;1204941.8;9.835773;46.970474
684.7;1524.2;2782403;1204939;9.835938;46.970445
695.4;1525.8;2782412.7;1204934.6;9.836063;46.970403
702.8;1526.7;2782419.8;1204932.6;9.836156;46.970383
707;1527.5;2782424;1204933.1;9.836211;46.970386
711.6;1527.9;2782427.5;1204936.1;9.836258;46.970412
717.9;1529.1;2782430.2;1204941.8;9.836296;46.970463
729.1;1529.9;2782440.7;1204945.6;9.836435;46.970494
747.5;1533.8;2782459;1204947.5;9.836677;46.970506
763.1;1535.7;2782474.6;1204948;9.836882;46.970506
776.1;1537;2782487.6;1204947;9.837052;46.970494
796.6;1537.4;2782507.3;1204941.4;9.837309;46.970438
824.9;1540.5;2782533.7;1204931.1;9.837651;46.970338
867.6;1546.8;2782574.2;1204917.8;9.838178;46.970208
924.7;1555.2;2782628.9;1204901.3;9.83889;46.970044
955.9;1561.2;2782659;1204893.1;9.839282;46.969962
961.5;1562;2782664.6;1204893.1;9.839355;46.969961
970.9;1563.5;2782672.9;1204888.6;9.839462;46.969918
985.1;1566.7;2782683.7;1204879.5;9.839601;46.969833
1003.9;1566.4;2782701.1;1204872.4;9.839826;46.969764
1028.4;1570;2782725.1;1204867.1;9.840139;46.96971
1049.2;1573.1;2782743.9;1204858.2;9.840383;46.969625
1067.8;1576.2;2782757.5;1204845.6;9.840556;46.969508
1092.2;1579.7;2782774.8;1204828.4;9.840777;46.969349
1122.2;1583.1;2782795.6;1204806.7;9.841041;46.969148
1145;1586.2;2782811;1204789.9;9.841237;46.968992
1160.4;1587.5;2782820.9;1204778.1;9.841362;46.968884
1175.3;1588.9;2782831;1204767.2;9.84149;46.968783
1189.6;1591;2782841.3;1204757.3;9.841621;46.968691
1203.9;1592.8;2782850.9;1204746.7;9.841743;46.968593
1218.2;1595;2782859.9;1204735.5;9.841857;46.96849
1232.9;1596.5;2782867.5;1204723;9.841952;46.968375
1248.2;1598.9;2782873.7;1204709;9.842028;46.968248
1263;1600.3;2782879.3;1204695.3;9.842096;46.968123
1277.3;1601.7;2782884.3;1204681.9;9.842156;46.968001
1292.8;1603;2782891.1;1204668;9.84224;46.967874
1309.7;1604.7;2782899.8;1204653.4;9.842348;46.967741
1322.7;1604.8;2782905.9;1204642;9.842423;46.967636
1331.5;1605.2;2782909.3;1204633.9;9.842465;46.967563
1341;1605.9;2782914;1204625.6;9.842523;46.967487
1351.3;1608;2782919.9;1204617.1;9.842597;46.967409
1360.7;1608.1;2782923.7;1204608.6;9.842644;46.967331
1369.3;1609;2782925.6;1204600.2;9.842665;46.967255
1380.6;1608.3;2782927;1204589;9.842679;46.967154
1394.5;1609.9;2782927.9;1204575.1;9.842685;46.967029
1407.8;1610.4;2782931;1204562.2;9.842721;46.966912
1427.7;1613.5;2782933.5;1204542.4;9.842746;46.966733
1435.8;1614.8;2782936.2;1204534.8;9.842778;46.966664
1444.9;1616;2782940.4;1204526.7;9.84283;46.96659
1457.4;1617;2782948.7;1204517.3;9.842935;46.966504
1471.6;1619.1;2782956.9;1204505.7;9.843038;46.966397
1477.6;1620.1;2782962.4;1204503.3;9.84311;46.966374
1494.9;1622.6;2782979.2;1204499.5;9.843329;46.966335
1504.5;1623.9;2782987.7;1204494.9;9.843439;46.966291
1513.3;1624.7;2782996.3;1204493.1;9.843551;46.966273
1522.2;1625.2;2783003.9;1204488.6;9.843649;46.96623
1534.2;1626.4;2783013.5;1204481.4;9.843772;46.966163
1546.9;1627.8;2783024.8;1204475.4;9.843918;46.966106
1576.8;1631.2;2783052.5;1204464.2;9.844277;46.965997
1588.7;1632.6;2783062;1204457.1;9.844399;46.965931
1610.3;1634.7;2783077.1;1204441.7;9.844591;46.965788
1632.3;1636.9;2783091.3;1204424.9;9.844771;46.965633
1642.9;1638.1;2783097;1204415.9;9.844842;46.965551
1649.8;1638.8;2783100.1;1204409.7;9.84488;46.965494
1656.2;1639.3;2783101.6;1204403.5;9.844898;46.965438
1677.2;1641.5;2783107.3;1204383.3;9.844964;46.965255
1685.7;1642.5;2783111.3;1204375.8;9.845014;46.965186
1693.3;1643.2;2783117.5;1204371.4;9.845094;46.965145
1708;1644.8;2783131.4;1204366.7;9.845274;46.965099
1716.6;1645.7;2783137.9;1204361.1;9.845357;46.965047
1726.3;1647;2783144.5;1204353.9;9.845441;46.96498
1736.3;1648;2783152.7;1204348.2;9.845546;46.964927
1748.6;1649.4;2783164.7;1204345.7;9.845703;46.964901
1772.6;1651.9;2783188.7;1204345.2;9.846018;46.96489
1802.3;1654.5;2783216.6;1204335;9.84638;46.964791
1809.6;1655;2783223.3;1204332.1;9.846467;46.964763
1816.9;1655.6;2783229.3;1204327.9;9.846544;46.964723
1823.4;1656.2;2783234.1;1204323.5;9.846606;46.964682
1852.6;1658.2;2783249.7;1204298.8;9.846801;46.964456
1867.6;1659.5;2783258.4;1204286.6;9.84691;46.964344
1896.2;1661.9;2783277.9;1204265.7;9.847158;46.964151
1934.6;1662.1;2783308.7;1204242.8;9.847553;46.963936
1975.2;1665.4;2783343.8;1204222.3;9.848005;46.963742
2018.3;1671.9;2783381.1;1204200.7;9.848487;46.963538
2055.9;1676.5;2783409.5;1204176.1;9.84885;46.963309
2077.7;1677.8;2783425;1204160.8;9.849047;46.963167
2094.8;1679.1;2783439.8;1204152.2;9.849238;46.963085
2152.9;1682.7;2783488.2;1204120;9.849861;46.962783
2189;1685.5;2783517.3;1204098.7;9.850234;46.962583
2218.2;1690.5;2783539.3;1204079.5;9.850515;46.962404
2256.8;1696.2;2783556.4;1204044.9;9.850726;46.962088
2305.9;1703.9;2783574.9;1203999.4;9.85095;46.961674
2356.7;1708.2;2783589.4;1203950.7;9.851121;46.961232
2389.7;1713.6;2783599.1;1203919.2;9.851236;46.960946
2436.8;1723.2;2783618.1;1203876.1;9.851468;46.960554
