route,seed,dijkstra_optimal,cost_ratio
Chuenihorn (short),42,10717.972400982388,1.1564340120009655
Chuenihorn (short),43,10717.972400982388,1.15239261484675
Chuenihorn (short),44,10717.972400982388,1.1575538896154622
Chuenihorn (short),45,10717.972400982388,1.1658505670320007
Chuenihorn (short),46,10717.972400982388,1.157089314251166
Chuenihorn (short),47,10717.972400982388,1.1776320645817286
Chuenihorn (short),48,10717.972400982388,1.142963207747744
Chuenihorn (short),49,10717.972400982388,1.143504746170581
Chuenihorn (short),50,10717.972400982388,1.134510568240143
Chuenihorn (short),51,10717.972400982388,1.1710990718998613
Schollberg (long),42,13641.196055879478,1.3504519361801604
Schollberg (long),43,13641.196055879478,1.2993879868468992
Schollberg (long),44,13641.196055879478,1.341982675941803
Schollberg (long),45,13641.196055879478,1.3243666286323337
Schollberg (long),46,13641.196055879478,1.311290772615855
Schollberg (long),47,13641.196055879478,1.2707240375405497
Schollberg (long),48,13641.196055879478,1.3981778351466307
Schollberg (long),49,13641.196055879478,1.350798072330586
Schollberg (long),50,13641.196055879478,1.2738329743190893
Schollberg (long),51,13641.196055879478,1.3508391275177973
Sulzfluh (long),42,18310.71924674,1.2962596543373581
Sulzfluh (long),43,18310.71924674,1.2760172785203843
Sulzfluh (long),44,18310.71924674,1.3421142984308947
Sulzfluh (long),45,18310.71924674,1.3276925904341321
Sulzfluh (long),46,18310.71924674,1.341629648858961
Sulzfluh (long),47,18310.71924674,1.3507331456622824
Sulzfluh (long),48,18310.71924674,1.3351555144412384
Sulzfluh (long),49,18310.71924674,1.331069442645137
Sulzfluh (long),50,18310.71924674,1.2950824770516132
Sulzfluh (long),51,18310.71924674,1.3176864831313542
