Route,Parameter,Value,CV,Avg Cost,Best Cost,Worst Cost,Std,Ratio to Optimal,Avg Improvement,Avg Time (s),Valid Runs,Total Runs,Dijkstra Optimal
Chuenihorn (short),T0,100,0.0108,11404.6,11214.2,11624.4,123.6,1.064,23.2%,26.93,10,10,10718.0
Chuenihorn (short),T0,250,0.0102,11399.0,11196.7,11569.6,116.0,1.064,23.2%,26.49,10,10,10718.0
Chuenihorn (short),T0,500,0.0073,11382.2,11246.6,11507.6,83.6,1.062,23.3%,25.43,10,10,10718.0
Chuenihorn (short),alpha,0.98,0.0106,11400.0,11198.7,11592.5,121.2,1.064,23.2%,26.62,10,10,10718.0
Chuenihorn (short),alpha,0.99,0.0102,11399.0,11196.7,11569.6,116.0,1.064,23.2%,25.79,10,10,10718.0
Chuenihorn (short),alpha,0.995,0.0066,11373.3,11257.2,11520.4,75.3,1.061,23.4%,28.27,10,10,10718.0
Chuenihorn (short),iterations,1000,0.0079,11600.4,11420.1,11778.9,91.5,1.082,21.9%,13.49,10,10,10718.0
Chuenihorn (short),iterations,2000,0.0102,11399.0,11196.7,11569.6,116.0,1.064,23.2%,29.08,10,10,10718.0
Chuenihorn (short),iterations,4000,0.0059,11238.1,11084.5,11325.9,65.9,1.049,24.3%,52.52,10,10,10718.0
Sulzfluh (long),T0,100,0.0232,22371.4,21499.1,23335.7,520.1,1.220,73.8%,75.22,10,10,18339.8
Sulzfluh (long),T0,250,0.0187,22165.0,21438.3,22857.9,415.5,1.209,74.2%,74.61,10,10,18339.8
Sulzfluh (long),T0,500,0.0394,22129.3,21456.1,24587.6,871.5,1.207,74.4%,75.04,10,10,18339.8
Sulzfluh (long),alpha,0.98,0.0385,22637.9,21419.1,24718.2,871.3,1.234,73.8%,78.31,10,10,18339.8
Sulzfluh (long),alpha,0.99,0.0187,22165.0,21438.3,22857.9,415.5,1.209,74.2%,76.62,10,10,18339.8
Sulzfluh (long),alpha,0.995,0.0206,22383.5,21623.8,23110.5,460.4,1.220,73.8%,86.79,10,10,18339.8
Sulzfluh (long),iterations,1000,0.0204,23104.3,22354.0,23827.8,471.2,1.260,73.0%,41.02,10,10,18339.8
Sulzfluh (long),iterations,2000,0.0187,22165.0,21438.3,22857.9,415.5,1.209,74.2%,74.90,10,10,18339.8
Sulzfluh (long),iterations,4000,0.0176,21629.9,20982.6,22356.4,380.0,1.179,74.9%,144.83,10,10,18339.8
